sep=,
"Architecture/PV (kW)","Architecture/Gen (kW)","Architecture/1kWh LI (#)","Architecture/Grid (kW)","Architecture/Converter (kW)","Architecture/Dispatch","Cost/NPC ($)","Cost/LCOE ($/kWh)","Cost/Operating cost ($/yr)","Cost/CAPEX ($)","System/Ren Frac (%)","System/Total Fuel (L/yr)","Project Economics/IRR (%)","Project Economics/Simple Payback (yr)","Gen/Hours","Gen/Production (kWh)","Gen/Fuel (L)","Gen/O&M Cost ($/yr)","Gen/Fuel Cost ($/yr)","PV/CAPEX","PV/Energy Production (kWh/yr)","1kWh LI/Auxiliary Load Percent (%)","1kWh LI/Autonomy (hr)","1kWh LI/Annual Throughput (kWh/yr)","1kWh LI/Nominal Capacity (kWh)","1kWh LI/Accessible Capacity (kWh)","Converter/Rectifier Mean Output (kW)","Converter/Inverter Mean Output (kW)","Grid/Energy Purchased (kWh)","Grid/Energy Sold (kWh)"
"804.025290327039","640","632","999999","585.655000543192","CC","2550374","0.1024646","95691.6","1313319","61.68742","57948.95","17.30696","5.544083","430","225393","57948.95","8256","26077.03","723622.8","1482697","0","2.902235","207664","632.0013","537.201","20.54862","157.2139","512267.6","303906"
"845.007607331352","640","758","999999","586.044619638801","CC","2550482","0.1014643","90401.07","1381820","63.26792","52764.66","16.61312","5.654295","367","206379.8","52764.66","7046.4","23744.1","760506.9","1558272","0","3.480845","212013.5","758.0015","644.3013","19.85566","161.3351","507852.5","322969.4"
"877.885850310613","640","646","999999","653.559150470704","CC","2550529","0.0986797","88714.91","1403665","64.49763","54873.75","16.47086","5.667524","388","214332.1","54873.75","7449.6","24693.19","790097.3","1618903","0","2.966525","203857.1","646.0013","549.1011","20.03453","168.2955","495481.8","377874.6"
"821.218406271351","640","633","999999","606.307951088017","CC","2550653","0.1014653","94017.59","1335239","62.40118","57417.32","17.08776","5.574389","422","223515.5","57417.32","8102.4","25837.8","739096.6","1514403","0","2.906827","206052","633.0013","538.0511","20.39807","159.9901","507611.8","323080.5"
"901.009743149842","640","654","999999","610.745989031944","CC","2550683","0.09910388","87955.84","1413633","64.71814","54345.26","16.35688","5.687469","380","212467.9","54345.26","7296","24455.37","810908.8","1661545","0","3.003262","203514.8","654.0013","555.9011","19.84763","167.9787","489960.8","369437.8"
"825.313678762952","640","672","999999","663.705743408264","CC","2550758","0.1004675","91654.4","1365894","63.09976","55008.17","16.79228","5.613465","377","215417.9","55008.17","7238.4","24753.68","742782.3","1521955","0","3.085921","211127.6","672.0013","571.2012","20.37464","162.913","509281","342472.9"
"761.925839386244","640","646","999999","588.72198260166","CC","2550761","0.1038224","98310.5","1279850","60.35577","58446.3","17.63979","5.49614","427","227641.4","58446.3","8198.4","26300.83","685733.3","1405062","0","2.966525","211843.9","646.0013","549.1011","20.72375","152.7563","525789.9","279013.3"
"815.310564224474","640","814","999999","625.118213746498","CC","2550769","0.1016258","90501.06","1380815","62.96989","49441.41","16.67638","5.65176","345","193329.2","49441.41","6624","22248.63","733779.5","1503508","0","3.738005","219027.8","814.0016","691.9014","20.05179","160.6735","525634.7","320097.3"
"864.029184567489","640","741","999999","635.842819752813","CC","2550906","0.09960329","88282.73","1409629","64.19872","52169.95","16.40981","5.68556","354","204469.7","52169.95","6796.8","23476.48","777626.3","1593350","0","3.402779","211444","741.0015","629.8513","19.99234","166.2316","504788.1","359628.3"
"774.519018710105","640","744","999999","620.063603772537","CC","2551074","0.1031064","94835.53","1325086","61.29038","53441.04","17.18595","5.565229","365","209340","53441.04","7008","24048.47","697067.1","1428285","0","3.416555","219573","744.0015","632.4012","20.64473","155.6405","531528.6","292445.3"
